번호,GMP 품목군,구분
64,소프트웨어 (Software),E01000 심혈관 진료용 소프트웨어 Software for cardiovascular
64,소프트웨어 (Software),E02000 치의학 진료용 소프트웨어 Software for dental
64,소프트웨어 (Software),E03000 이비인후과학 진료용 소프트웨어 Software for otolaryngology
64,소프트웨어 (Software),E04000 위장병학 및 비뇨의학 진료용 소프트웨어 Software for gastroenterology and urology
64,소프트웨어 (Software),E05000 병원진료용 소프트웨어 Software for general hospital
64,소프트웨어 (Software),E06000 신경과학 진료용 소프트웨어 Software for neurology
64,소프트웨어 (Software),E07000 산부인과학 진료용 소프트웨어 Software for uterology
64,소프트웨어 (Software),E08000 안과학 진료용 소프트웨어 Software for ophthalmology
64,소프트웨어 (Software),E09000 정형외과학 진료용 소프트웨어 Software for orthopaedics
64,소프트웨어 (Software),E10000 재활의학 진료용 소프트웨어 Software for rehabilitation
64,소프트웨어 (Software),E11000 방사선종양학 및 영상의학 진료용 소프트웨어 Software for radiation oncology and diagnostic radiology
